NO,Polygon Points
1,"(8.917, 3748.065); (9.061, 3552.999); (9.683, 3365.776); (701.718, 3375.089); (713.723, 3375.250); (968.464, 3378.680); (987.917, 3378.942); (1003.303, 3379.149); (1007.556, 3383.213); (1007.802, 3390.126); (1008.176, 3520.035); (1008.498, 3975.797); (1007.377, 4028.904); (1006.268, 4042.497); (941.609, 4083.257); (928.275, 4087.312); (14.635, 3961.013); (10.671, 3915.417); (10.340, 3906.858); (9.900, 3887.012); (9.361, 3824.266)"
2,"(1634.336, 3098.926); (2013.862, 3760.961); (2017.906, 3770.437); (2027.515, 3822.831); (2031.787, 3936.388); (2032.393, 4013.095); (2031.781, 4076.236); (2025.670, 4083.739); (2005.032, 4086.932); (1614.468, 4087.356); (1362.322, 4087.268); (1066.998, 4087.085); (1032.509, 4082.364); (1032.587, 4076.572); (1032.865, 4055.914); (1033.579, 4002.814); (1035.164, 3885.075); (1035.632, 3850.265); (1035.903, 3830.178); (1188.719, 3211.498); (1193.465, 3201.495); (1249.857, 3088.075); (1504.787, 3091.505); (1611.663, 3092.944); (1622.756, 3093.093); (1628.174, 3093.166)"
3,"(1008.442, 2557.066); (1007.375, 3019.239); (996.247, 3061.362); (774.481, 3063.081); (453.481, 3063.429); (315.713, 3063.455); (203.145, 3061.053); (167.421, 3055.685); (155.762, 3051.674); (43.797, 2968.185); (24.002, 2951.820); (17.040, 2944.972); (9.035, 2795.330); (8.830, 2293.251); (8.908, 2132.197); (9.341, 2081.405); (16.033, 2063.541); (58.653, 2064.114); (149.988, 2065.343); (178.291, 2065.724); (191.400, 2065.901); (218.764, 2071.842); (236.798, 2078.776); (782.451, 2357.574); (904.639, 2429.264); (921.327, 2439.185); (933.643, 2448.430); (941.369, 2454.941); (955.080, 2469.809); (973.116, 2498.094)"
4,"(1784.487, 3351.219); (1785.045, 3376.276); (1783.746, 3396.883); (1768.526, 3490.927); (1750.922, 3590.208); (1748.929, 3601.103); (1726.573, 3686.934); (1705.534, 3700.028); (1685.163, 3703.500); (1675.017, 3700.553); (1672.635, 3699.367); (1674.644, 3550.099); (1676.698, 3397.430); (1677.777, 3317.244); (1677.838, 3312.711); (1677.937, 3305.387); (1678.059, 3296.341); (1678.090, 3294.011); (1678.101, 3293.169); (1680.380, 3293.200); (1719.072, 3293.721); (1779.471, 3294.534); (1780.633, 3299.142)"
5,"(4361.326, 3473.171); (4629.381, 3364.975); (4713.151, 3350.045); (4792.965, 3341.277); (5007.824, 3319.903); (5017.488, 3320.164); (5059.465, 3326.297); (5067.765, 3330.955); (5118.099, 3428.260); (5150.597, 3491.304); (5137.368, 3496.958); (5135.366, 3497.750); (5004.136, 3529.894); (4993.228, 3531.957); (4562.970, 3574.111); (4390.405, 3574.577); (4387.834, 3574.368); (4386.521, 3571.012); (4386.000, 3569.378)"
6,"(2995.195, 3093.904); (3055.731, 3952.583); (3053.011, 3984.210); (3012.106, 4070.846); (3002.544, 4081.559); (2685.482, 4086.458); (2650.462, 4086.998); (2441.523, 4087.285); (2173.364, 4087.398); (2100.654, 4086.427); (2073.046, 4085.818); (2062.893, 4077.694); (2058.400, 4064.452); (2056.892, 4047.805); (2056.523, 4015.258); (2056.710, 3835.438); (2060.338, 3774.487); (2063.393, 3753.431); (2562.754, 3088.084); (2585.993, 3088.397); (2650.492, 3089.265)"
7,"(676.834, 3289.087); (681.095, 3297.963); (665.766, 3309.909); (650.950, 3318.542); (648.994, 3316.362); (667.694, 3291.127); (672.140, 3289.220)"
8,"(1069.024, 3608.441); (1063.287, 3617.130); (1060.208, 3614.938); (1059.171, 3608.732); (1062.945, 3602.373)"
9,"(6913.979, 3478.676); (6903.501, 3474.139); (6898.491, 3470.578); (6888.777, 3462.195); (6894.750, 3458.520); (6900.683, 3456.498); (6946.715, 3466.970); (6953.380, 3469.850); (6949.454, 3473.186); (6934.297, 3476.407)"
10,"(5458.829, 3863.240); (5448.995, 3852.338); (5465.596, 3845.960); (5479.000, 3845.664); (5484.767, 3846.019); (5493.000, 3847.657); (5499.347, 3850.401); (5495.139, 3857.619); (5491.493, 3862.867)"
11,"(7432.802, 3890.519); (7462.651, 3885.643); (7496.814, 3892.491); (7616.643, 3918.993); (7631.821, 3924.463); (7676.339, 3941.804); (7682.150, 3944.188); (7693.625, 3950.155); (7694.013, 3955.295); (7690.230, 3956.258); (7683.941, 3957.645); (7670.723, 3958.803); (7667.803, 3958.799); (7659.425, 3958.589); (7628.497, 3956.879); (7499.471, 3949.271); (7458.671, 3945.718)"
12,"(3923.326, 3317.141); (3913.274, 3311.361); (3926.656, 3303.701); (3933.118, 3301.943); (3936.947, 3305.552); (3947.280, 3317.497); (3937.994, 3319.143)"
13,"(4952.828, 3202.368); (4958.757, 3193.513); (4970.900, 3201.113); (4960.148, 3206.704)"
14,"(7882.812, 3949.952); (7770.980, 3959.301); (7769.069, 3958.856); (7763.614, 3939.573); (7762.478, 3935.026); (7753.405, 3891.616); (7762.118, 3888.544); (7906.673, 3864.274); (7962.632, 3862.597); (7986.564, 3870.745); (7995.218, 3874.328); (8004.446, 3883.290); (8004.412, 3889.442); (7992.570, 3905.367); (7983.311, 3915.042); (7913.728, 3939.838)"
15,"(3018.018, 3433.296); (3016.748, 3417.765); (3023.218, 3415.382); (3045.150, 3416.750); (3053.910, 3417.681); (3071.057, 3422.225); (3075.466, 3426.372); (3078.832, 3435.627); (3072.733, 3443.587); (3067.040, 3446.776); (3062.236, 3447.123); (3024.152, 3436.467)"
16,"(7248.204, 3858.714); (7240.948, 3850.402); (7253.044, 3846.608); (7280.071, 3843.668); (7309.773, 3841.558); (7322.620, 3843.608); (7309.283, 3852.154); (7304.348, 3854.594); (7267.795, 3862.592); (7258.671, 3861.218)"
17,"(1153.399, 3250.044); (1153.002, 3255.068); (1138.798, 3246.407); (1129.247, 3237.065); (1132.425, 3233.690); (1140.668, 3234.292); (1150.017, 3244.226)"
18,"(3402.520, 3374.138); (3401.262, 3353.983); (3419.569, 3350.814); (3433.226, 3350.905); (3443.433, 3352.678); (3447.394, 3358.343); (3435.606, 3372.138); (3428.498, 3377.009); (3410.815, 3383.210); (3405.686, 3380.829)"
19,"(2041.113, 3678.666); (2050.233, 3677.124); (2087.982, 3683.260); (2099.681, 3685.219); (2114.476, 3688.801); (2120.568, 3692.925); (2108.889, 3703.121); (2098.363, 3702.744); (2090.462, 3701.514); (2068.759, 3697.568); (2025.220, 3688.666); (2031.134, 3683.721)"
20,"(2001.515, 3318.309); (1997.128, 3319.261); (1994.569, 3309.410); (1993.673, 3295.233); (1993.406, 3289.521); (2004.928, 3287.926); (2014.027, 3290.198); (2017.784, 3292.161); (2011.697, 3302.473)"
21,"(4612.043, 3165.172); (4614.342, 3170.725); (4608.270, 3174.446); (4600.836, 3174.516); (4602.068, 3166.675)"
22,"(4760.286, 3290.741); (4771.642, 3291.748); (4776.388, 3296.532); (4777.714, 3307.430); (4771.119, 3311.976); (4755.638, 3318.711); (4750.891, 3317.686); (4745.369, 3315.887); (4746.034, 3307.687); (4755.540, 3293.732)"
23,"(6114.234, 3638.351); (6107.367, 3638.918); (6097.620, 3638.753); (6066.748, 3630.574); (6055.181, 3627.424); (6040.333, 3618.546); (6031.704, 3611.892); (6025.230, 3582.450); (6024.615, 3578.497); (6027.617, 3578.228); (6031.507, 3578.042); (6079.014, 3579.122); (6084.191, 3579.476); (6100.805, 3581.082)"
24,"(7564.838, 3228.469); (7563.444, 3238.590); (7561.303, 3238.708); (7557.779, 3236.448); (7545.331, 3226.147); (7558.894, 3227.405)"
25,"(3785.182, 3281.625); (3798.847, 3278.305); (3800.455, 3282.881); (3793.824, 3286.505)"
26,"(5458.257, 3958.573); (5221.242, 3933.406); (5205.370, 3924.110); (5194.189, 3913.322); (5192.568, 3902.122); (5202.478, 3896.990); (5241.378, 3885.867); (5406.274, 3877.399); (5427.102, 3877.792); (5435.090, 3878.809); (5484.416, 3893.275); (5494.157, 3904.004); (5498.331, 3916.332); (5497.461, 3921.205); (5493.770, 3936.154); (5488.907, 3950.263); (5472.779, 3957.367)"
27,"(6767.228, 3718.571); (6761.156, 3711.251); (6768.487, 3709.812); (6784.351, 3717.678)"
28,"(6143.753, 3599.603); (6134.991, 3607.079); (6128.696, 3606.952); (6120.651, 3594.538); (6137.198, 3597.391)"
29,"(3186.412, 3254.577); (3176.874, 3245.446); (3187.522, 3238.088); (3195.743, 3237.423); (3202.485, 3242.333); (3198.722, 3249.339)"
30,"(7543.476, 3381.150); (7529.068, 3371.267); (7536.167, 3367.674); (7552.194, 3365.949); (7563.860, 3372.161); (7570.620, 3382.947)"
31,"(2072.682, 3615.716); (2086.334, 3611.474); (2099.484, 3623.422); (2091.261, 3623.220); (2077.221, 3622.856)"
32,"(7162.244, 3680.722); (7149.176, 3686.935); (7135.720, 3682.079); (7128.576, 3677.183); (7153.251, 3673.586)"
33,"(3828.223, 3286.748); (3817.043, 3284.214); (3819.020, 3275.600); (3846.388, 3271.342); (3843.975, 3279.114); (3837.909, 3283.080)"
34,"(4004.491, 3487.649); (3997.838, 3495.240); (3985.798, 3494.934); (3976.644, 3489.002); (3984.022, 3481.858)"
35,"(3581.880, 3335.344); (3576.607, 3334.552); (3580.892, 3319.724); (3583.835, 3319.433); (3582.331, 3332.559)"
36,"(7720.541, 3219.273); (7735.862, 3223.398); (7732.738, 3237.470); (7728.048, 3238.985); (7723.948, 3236.571)"
37,"(1135.708, 3174.668); (1129.218, 3167.354); (1137.962, 3168.686); (1143.393, 3173.963)"
38,"(1161.058, 3174.709); (1165.126, 3166.517); (1175.177, 3169.016); (1166.428, 3173.623)"
39,"(4393.648, 3279.260); (4393.085, 3271.922); (4393.633, 3267.792); (4394.729, 3260.703); (4399.925, 3259.494); (4410.398, 3260.163); (4418.438, 3261.232); (4411.781, 3282.103); (4407.270, 3285.615); (4396.961, 3287.042)"
40,"(5262.046, 3290.332); (5271.331, 3287.704); (5276.381, 3288.488); (5283.446, 3289.677); (5265.495, 3316.750); (5260.781, 3319.326); (5256.905, 3316.832); (5257.181, 3311.256)"
41,"(1001.361, 3290.445); (1015.336, 3286.801); (1023.395, 3299.781); (1026.360, 3307.205); (1027.479, 3312.724); (1023.931, 3316.468); (1019.313, 3318.574); (1014.633, 3318.001)"
42,"(7785.822, 3283.454); (7785.091, 3271.951); (7785.692, 3264.428); (7789.807, 3260.018); (7799.652, 3260.348); (7804.108, 3268.053); (7809.149, 3280.240); (7796.681, 3286.492); (7789.867, 3287.377)"
43,"(3518.966, 3392.922); (3518.237, 3412.141); (3499.176, 3415.114); (3476.983, 3408.356); (3464.501, 3397.268); (3481.877, 3387.955); (3488.713, 3387.148); (3501.549, 3387.240); (3516.899, 3388.698)"
44,"(4207.130, 3327.520); (4206.634, 3334.452); (4191.012, 3347.611); (4183.326, 3350.648); (4178.263, 3348.368); (4174.009, 3343.114); (4172.342, 3336.335); (4169.020, 3321.537); (4173.054, 3312.769); (4180.728, 3312.408); (4195.991, 3313.503); (4202.079, 3314.125); (4206.770, 3320.950)"
45,"(4904.505, 3284.789); (4908.108, 3263.344); (4918.016, 3260.022); (4931.353, 3269.437); (4933.213, 3278.306); (4928.064, 3281.157); (4918.463, 3285.782); (4907.426, 3287.197)"
46,"(8048.457, 3733.468); (8053.922, 3732.417); (8055.559, 3738.399); (8056.642, 3761.391); (8054.011, 3764.837); (8050.115, 3766.501); (8046.958, 3767.400); (8044.903, 3762.397); (8041.117, 3744.881); (8043.862, 3739.772)"
47,"(6896.223, 3396.435); (6903.861, 3407.871); (6902.645, 3413.425); (6896.617, 3414.622); (6894.311, 3413.366); (6889.269, 3404.526); (6890.983, 3397.529)"
48,"(7676.304, 3383.417); (7663.886, 3378.746); (7660.939, 3369.842); (7658.575, 3355.284); (7656.936, 3341.697); (7664.287, 3341.032); (7678.263, 3342.107); (7684.362, 3345.256); (7682.034, 3369.103); (7678.398, 3379.037)"
49,"(3339.175, 3297.437); (3348.196, 3294.399); (3366.146, 3303.951); (3372.342, 3308.343); (3350.893, 3318.582); (3347.226, 3318.798); (3341.329, 3318.578); (3337.225, 3317.346); (3337.257, 3312.917)"
