NO,Polygon Points
1,"(3055.920, 7210.613); (3056.469, 7543.210); (3056.414, 7953.241); (3056.262, 8165.000); (3048.243, 8172.744); (3039.269, 8176.314); (3017.777, 8183.011); (2984.637, 8183.353); (2684.754, 8183.343); (2642.181, 8181.975); (2607.122, 8127.966); (2080.301, 7294.674); (2066.648, 7271.023); (2057.104, 7254.282); (2060.699, 7205.775); (2061.492, 7195.959); (2065.388, 7189.543); (2072.815, 7185.424); (2286.787, 7183.869); (2521.360, 7183.694); (2882.706, 7184.438); (2950.578, 7185.185); (3048.460, 7186.454); (3055.179, 7199.566)"
2,"(1039.491, 758.429); (1032.509, 746.657); (1033.768, 705.438); (1035.901, 700.052); (1063.868, 694.284); (1095.580, 688.461); (1112.940, 686.129); (1120.275, 686.017); (1122.583, 687.696); (1120.749, 693.684); (1112.454, 708.151); (1103.751, 715.901); (1054.626, 757.532); (1043.709, 759.074)"
3,"(28.014, 1920.498); (9.402, 1842.001); (12.516, 1837.547); (14.305, 1835.976); (54.854, 1818.774); (92.114, 1831.160); (108.024, 1836.450); (301.124, 1917.982); (299.514, 1952.229); (299.188, 1957.521); (299.134, 1958.210); (296.962, 1985.448); (293.006, 2034.935); (292.945, 2035.514); (290.923, 2036.297); (281.092, 2039.155); (234.008, 2020.180); (31.670, 1935.722)"
4,"(4136.429, 1764.056); (4154.191, 1791.830); (4151.132, 1795.772); (4113.891, 1814.576); (4108.821, 1811.670); (4107.219, 1790.161); (4105.593, 1767.987); (4105.206, 1762.262); (4104.965, 1758.471); (4111.765, 1757.457); (4121.949, 1759.889)"
5,"(586.502, 6134.651); (520.953, 6132.444); (518.970, 6129.369); (424.146, 5979.185); (14.078, 5320.395); (14.077, 5320.394); (14.076, 5320.393); (14.073, 5320.386); (9.896, 5312.193); (9.139, 5310.394); (87.320, 5253.419); (90.711, 5251.593); (147.309, 5239.387); (745.790, 5136.882); (758.625, 5136.727); (845.374, 5136.022); (1003.253, 5135.891); (1005.984, 5150.388); (1007.558, 5169.287); (1007.976, 5214.136); (1008.447, 5407.447); (1008.270, 5571.395); (1007.571, 6120.751); (1007.091, 6127.104); (1004.141, 6132.872); (949.606, 6133.802); (866.176, 6134.703); (818.890, 6134.932); (760.129, 6135.131); (632.656, 6135.058)"
6,"(2056.652, 5190.794); (2246.997, 5142.276); (2283.026, 5140.018); (2321.955, 5137.640); (2650.552, 5135.888); (2890.576, 5135.787); (3035.675, 5136.607); (3053.155, 5143.535); (3055.373, 5266.451); (3056.057, 5315.644); (3056.362, 6026.603); (3054.923, 6099.324); (3054.140, 6107.068); (3052.559, 6118.216); (3047.169, 6131.596); (2898.154, 6135.109); (2770.239, 6134.678); (2590.959, 6128.399); (2582.034, 6114.728); (2579.891, 6111.435); (2256.934, 5608.352); (2187.300, 5498.657); (2151.254, 5439.536); (2140.105, 5420.969); (2110.900, 5371.174); (2094.111, 5340.599); (2056.764, 5272.234)"
7,"(4424.695, 363.213); (4425.542, 348.289); (4435.697, 290.076); (4452.469, 286.377); (4499.563, 276.767); (4503.626, 279.094); (4511.227, 298.130); (4516.628, 334.147); (4518.250, 352.113); (4509.908, 358.625); (4504.293, 361.754); (4442.907, 374.374); (4440.180, 374.538); (4434.834, 373.058); (4426.886, 366.256)"
8,"(4677.900, 7184.059); (5073.805, 7445.971); (5080.001, 7554.191); (5080.717, 8016.589); (5077.104, 8105.951); (4822.511, 8182.685); (4817.732, 8182.071); (4269.152, 7892.503); (4263.570, 7888.111); (4104.573, 7661.155); (4104.579, 7659.418); (4105.046, 7508.596); (4625.092, 7186.414); (4663.253, 7184.497)"
9,"(8146.092, 2994.627); (8137.239, 2998.718); (8077.502, 2988.839); (8012.370, 2963.295); (8011.002, 2943.051); (8009.097, 2907.433); (8029.398, 2906.412); (8065.599, 2913.063); (8080.480, 2916.702); (8094.419, 2925.275); (8143.361, 2968.357); (8152.935, 2979.797); (8150.419, 2988.787)"
10,"(2504.531, 1061.685); (2537.350, 1041.955); (2546.544, 1043.607); (2591.161, 1053.171); (2604.817, 1060.914); (2620.846, 1070.147); (2626.762, 1078.929); (2625.064, 1098.243); (2619.816, 1110.520); (2584.538, 1137.516); (2576.194, 1143.129); (2565.517, 1138.097); (2535.822, 1107.029); (2529.265, 1099.865); (2511.013, 1078.791); (2508.009, 1074.790)"
11,"(6358.761, 131.055); (6374.728, 124.111); (6383.833, 125.765); (6393.252, 130.422); (6393.482, 153.423); (6391.324, 163.491); (6370.284, 179.865); (6367.794, 180.803); (6360.596, 182.856); (6351.421, 178.680); (6344.765, 168.889); (6350.456, 150.792); (6354.327, 139.524)"
12,"(5321.453, 2945.350); (5330.508, 2938.621); (5368.914, 2911.876); (5373.950, 2912.331); (5381.510, 2914.656); (5440.237, 2955.395); (5439.943, 2966.065); (5438.846, 2985.904); (5434.002, 2997.366); (5426.360, 2998.907); (5398.674, 2991.968); (5380.083, 2985.760); (5346.893, 2967.745); (5327.995, 2953.799); (5324.280, 2950.390)"
