NO,Polygon Points
1,"(3242.797, 2294.569); (3240.659, 2291.885); (3242.067, 2289.263); (3252.295, 2275.111); (3255.711, 2272.853); (3263.924, 2274.905); (3272.247, 2281.760); (3272.156, 2281.837); (3268.743, 2284.467)"
2,"(1198.604, 3087.502); (1392.814, 3087.749); (1962.006, 3099.205); (2032.041, 3100.615); (2031.505, 3127.229); (2014.159, 3989.087); (2013.360, 4028.811); (2012.900, 4051.657); (2012.541, 4069.498); (2012.271, 4082.894); (2012.219, 4085.458); (1429.749, 4087.136); (1044.164, 4086.464); (1036.398, 4082.790); (1033.304, 4048.283); (1032.767, 4041.152); (1033.077, 3279.670); (1035.022, 3169.597); (1035.671, 3145.655); (1037.043, 3102.442); (1043.867, 3095.043); (1059.079, 3092.439); (1168.059, 3088.018)"
3,"(1285.633, 2721.754); (1226.102, 2806.992); (1221.576, 2806.931); (1077.985, 2797.447); (1076.827, 2796.097); (1070.946, 2759.994); (1069.309, 2745.023); (1033.113, 2158.265); (1036.500, 2149.112); (1043.236, 2138.717); (1048.110, 2132.046); (1148.512, 2125.283); (1214.154, 2131.893); (1281.515, 2143.863); (1311.812, 2166.046); (1316.143, 2174.623); (1292.399, 2646.470); (1289.976, 2680.725)"
4,"(1044.003, 951.444); (1032.624, 926.986); (1033.685, 902.002); (1054.723, 886.951); (1083.287, 880.087); (1111.768, 879.760); (1118.676, 880.964); (1126.801, 903.238); (1126.937, 914.625); (1118.696, 919.463); (1106.505, 925.023)"
5,"(1162.686, 1905.425); (1160.644, 1797.669); (1166.196, 1760.367); (1186.876, 1694.089); (1196.131, 1680.870); (1198.819, 1677.063); (1210.383, 1675.258); (1216.731, 1675.517); (1222.348, 1677.979); (1266.260, 1730.730); (1265.950, 1740.988); (1259.537, 1895.983); (1258.910, 1900.920); (1257.395, 1905.068); (1230.324, 1941.303); (1192.562, 1975.362); (1184.713, 1967.147); (1173.946, 1947.804); (1166.812, 1926.989)"
6,"(18.483, 3205.356); (128.254, 3087.912); (140.696, 3088.162); (266.105, 3090.686); (371.008, 3092.797); (686.341, 3099.144); (763.967, 3100.707); (764.759, 3101.826); (777.955, 3500.618); (765.695, 3610.212); (759.607, 3627.816); (209.814, 4083.705); (139.278, 4086.981); (133.692, 4084.780); (129.007, 4073.726); (30.435, 3840.210); (9.360, 3658.625); (9.494, 3651.950); (9.785, 3637.477); (18.313, 3213.813)"
7,"(540.953, 3071.457); (544.076, 3075.408); (540.616, 3079.166); (532.072, 3078.218); (527.754, 3077.427); (521.102, 3075.156); (525.055, 3072.843)"
8,"(1668.199, 459.176); (1669.912, 465.603); (1664.478, 471.204); (1657.464, 470.205); (1657.527, 464.145); (1662.045, 459.523)"
9,"(3522.060, 965.535); (3522.788, 973.601); (3520.629, 980.646); (3515.817, 982.528); (3515.351, 981.203); (3513.272, 969.513); (3514.190, 967.204); (3514.442, 966.831); (3514.546, 966.677); (3515.319, 966.510)"
10,"(2863.771, 2644.853); (2912.568, 2641.866); (2923.985, 2643.452); (2930.772, 2645.053); (2944.697, 2653.003); (2948.385, 2655.740); (2946.808, 2673.906); (2941.990, 2678.062); (2866.304, 2678.945); (2863.025, 2677.749); (2858.901, 2674.771); (2857.439, 2669.075); (2858.859, 2647.506)"
11,"(2182.403, 1587.813); (2183.416, 2135.544); (2183.371, 2140.207); (2182.957, 2146.951); (2182.761, 2149.698); (2136.469, 2164.657); (2113.384, 2167.468); (2065.035, 2164.951); (2062.498, 2160.924); (2056.862, 2148.390); (2106.512, 1654.078); (2111.170, 1622.705); (2135.406, 1581.154); (2145.707, 1578.745); (2162.348, 1581.231)"
12,"(2216.752, 3868.039); (2217.739, 3844.449); (2237.737, 3840.582); (2237.361, 3869.670); (2233.923, 3887.782); (2230.206, 3895.067); (2225.056, 3894.958); (2221.945, 3888.320); (2218.842, 3881.535)"
13,"(323.434, 684.579); (319.429, 694.557); (316.583, 694.376); (312.629, 683.422); (317.866, 680.655); (318.419, 680.407); (319.959, 681.349)"
