NO,Polygon Points
1,"(1084.786, 986.048); (904.699, 474.436); (910.437, 474.551); (926.305, 474.871); (932.219, 474.990); (981.126, 475.974); (983.655, 476.025); (1165.138, 479.678); (1162.345, 618.510); (1161.525, 659.238); (1157.580, 855.261); (1157.335, 867.415); (1156.473, 910.254); (1131.831, 962.145); (1110.028, 1006.319); (1099.255, 1014.673); (1091.461, 1001.796); (1087.834, 994.327)"
2,"(1754.501, 1014.978); (1563.385, 1011.132); (1526.161, 1010.382); (1514.953, 982.658); (1509.643, 969.521); (1506.830, 962.561); (1291.681, 430.315); (1289.499, 424.915); (1351.826, 295.557); (1397.619, 281.051); (1418.906, 274.822); (1448.707, 266.563); (1462.240, 262.976); (1599.966, 232.231); (1733.381, 279.149); (1755.075, 307.391); (1766.456, 334.302); (1768.082, 340.223); (1767.211, 383.508); (1764.018, 542.138); (1761.595, 662.565); (1760.767, 703.692); (1755.589, 960.934); (1755.344, 973.125); (1755.159, 982.299)"
3,"(2026.634, 318.296); (2030.778, 315.222); (2034.959, 315.411); (2035.648, 315.521); (2037.197, 319.202); (2039.474, 324.684); (2039.520, 324.952); (2039.497, 324.985); (2039.202, 325.064); (2032.389, 326.619); (2030.181, 325.853); (2024.825, 322.061); (2024.502, 321.422); (2024.573, 320.783)"
4,"(1160.898, 994.309); (1177.188, 935.531); (1190.442, 930.288); (1367.950, 868.480); (1400.674, 865.458); (1428.049, 865.211); (1430.304, 867.685); (1427.192, 877.066); (1424.913, 882.345); (1396.176, 946.178); (1394.773, 949.198); (1393.892, 950.847); (1385.548, 962.426); (1380.984, 967.666); (1191.084, 1009.763); (1164.435, 1015.314); (1160.954, 1010.530)"
5,"(271.562, 854.940); (268.660, 876.339); (258.787, 887.482); (245.834, 886.286); (201.994, 881.403); (175.089, 878.113); (55.572, 863.371); (31.630, 860.407); (22.986, 859.168); (17.716, 856.383); (9.352, 851.642); (37.163, 832.603); (38.780, 831.536); (39.548, 831.094); (50.113, 825.382); (53.152, 823.758); (57.269, 822.078); (72.337, 822.566); (81.627, 823.189); (101.286, 825.314); (136.010, 829.568); (193.416, 836.625); (242.113, 843.150); (263.463, 850.964)"
6,"(1493.733, 246.983); (1480.751, 202.147); (1484.489, 200.333); (1505.448, 196.479); (1522.489, 205.297); (1532.263, 218.236); (1521.127, 235.924); (1514.846, 240.929); (1493.863, 247.243)"
7,"(239.474, 789.849); (74.404, 791.262); (37.664, 790.461); (22.754, 789.888); (12.728, 788.627); (10.609, 784.787); (9.163, 779.789); (14.045, 776.877); (51.178, 769.097); (131.543, 761.315); (163.690, 758.214); (226.829, 754.068); (238.206, 753.429); (241.692, 754.768); (241.350, 781.602); (240.697, 788.789); (240.609, 789.085)"
8,"(1833.437, 697.648); (1839.284, 689.224); (1913.336, 686.664); (1938.906, 695.048); (1992.812, 719.542); (1993.316, 721.386); (1990.864, 723.812); (1983.287, 726.984); (1956.074, 725.271); (1882.747, 720.617); (1851.810, 716.659); (1838.563, 713.953); (1834.413, 712.495)"
9,"(904.773, 608.436); (918.666, 595.468); (923.785, 591.682); (929.930, 587.364); (931.960, 586.101); (934.224, 584.801); (936.343, 583.911); (937.914, 583.374); (966.928, 587.534); (976.941, 589.853); (994.728, 597.517); (996.306, 604.677); (998.805, 618.326); (997.198, 629.398); (991.652, 630.532); (976.458, 629.998); (941.743, 627.039); (928.672, 624.643); (922.642, 622.809); (908.655, 616.369)"
10,"(927.276, 1015.217); (458.991, 1015.274); (432.670, 1014.034); (410.662, 1010.781); (328.642, 807.876); (236.998, 581.162); (235.403, 577.217); (109.629, 266.069); (76.264, 183.528); (24.300, 54.977); (14.384, 30.445); (9.154, 17.506); (8.892, 16.859); (37.801, 17.441); (50.455, 17.695); (62.503, 17.938); (179.026, 20.283); (343.605, 23.595); (355.883, 23.842); (360.477, 23.934); (554.234, 80.540); (750.485, 144.203); (775.091, 152.431); (781.230, 155.438); (842.969, 208.991); (850.087, 217.288); (853.671, 232.940); (933.256, 718.053); (928.260, 966.305); (928.171, 970.754)"
