NO,Polygon Points
1,"(1871.643, 1274.539); (1872.262, 1387.474); (1871.020, 1663.284); (1869.680, 1683.637); (1867.175, 1704.849); (1858.845, 1710.347); (1828.869, 1719.274); (1821.872, 1715.521); (1810.893, 1708.617); (1802.177, 1702.957); (1801.421, 1689.050); (1801.806, 1520.938); (1806.954, 1427.544); (1829.820, 1263.931); (1834.316, 1256.394); (1845.026, 1254.137); (1865.773, 1253.261); (1870.387, 1269.095); (1871.561, 1274.054)"
2,"(1002.014, 528.328); (996.388, 567.417); (906.787, 560.806); (905.338, 548.894); (909.445, 495.732); (914.531, 491.988); (930.350, 487.731); (990.058, 492.457); (991.246, 493.896); (993.667, 497.876); (997.545, 508.608); (1001.338, 520.822); (1001.523, 522.593)"
3,"(3468.534, 2261.094); (3469.682, 2204.050); (3470.915, 2204.075); (3855.832, 2211.822); (3999.137, 2214.706); (4061.118, 2215.954); (4054.499, 2249.626); (4051.745, 2251.600); (4007.856, 2267.153); (3690.029, 2374.066); (3676.797, 2378.285); (3613.700, 2397.676); (3465.285, 2422.550); (3465.453, 2414.210)"
4,"(1008.365, 2072.136); (1007.600, 2390.119); (1007.505, 2394.844); (1006.208, 2459.290); (1004.969, 2520.832); (1004.312, 2553.501); (998.246, 2854.899); (995.322, 3000.163); (994.682, 3031.965); (994.049, 3063.398); (978.397, 3063.083); (829.392, 3060.084); (498.216, 3053.418); (194.901, 3047.313); (128.025, 3045.967); (19.496, 3043.782); (14.443, 3043.681); (10.930, 2996.551); (9.598, 2972.753); (9.004, 2838.294); (8.663, 2161.458); (10.477, 2143.536); (15.783, 2139.470); (154.769, 2064.656); (203.656, 2064.352); (379.954, 2063.861); (925.735, 2065.706); (999.753, 2066.916)"
5,"(2026.915, 2382.345); (2008.709, 2970.840); (2006.096, 2972.461); (1999.695, 2974.541); (1716.387, 3023.862); (1686.754, 3028.073); (1123.152, 3063.202); (1119.549, 3061.602); (1033.385, 3017.859); (1033.193, 2925.028); (1033.192, 2924.028); (1033.181, 2450.792); (1033.310, 2443.470); (1033.344, 2441.749); (1033.357, 2441.537); (1033.885, 2436.253); (1106.884, 2424.034); (1166.678, 2417.096); (1570.989, 2383.956); (1686.600, 2376.100); (1921.297, 2363.726); (2011.003, 2374.666); (2026.221, 2378.177)"
6,"(8.630, 3656.659); (9.195, 3148.542); (11.486, 3099.605); (14.564, 3087.712); (15.077, 3087.722); (61.490, 3088.656); (147.059, 3090.378); (1007.655, 3107.699); (1007.473, 3116.751); (1005.922, 3193.811); (1004.597, 3259.654); (1002.151, 3381.200); (1001.779, 3399.638); (997.977, 3588.541); (993.785, 3796.811); (992.976, 3837.041); (992.931, 3839.249); (992.544, 3858.471); (992.537, 3858.825); (991.587, 3859.164); (987.348, 3860.647); (41.306, 4082.762); (13.641, 4086.503); (11.391, 4035.801); (9.895, 3944.396)"
7,"(712.627, 690.252); (683.697, 694.954); (625.217, 694.569); (622.056, 693.728); (589.345, 639.161); (585.450, 612.112); (585.400, 611.562); (585.119, 605.663); (589.225, 599.713); (603.851, 584.222); (620.954, 584.052); (708.280, 594.246); (709.972, 594.829); (714.662, 597.183); (715.926, 597.983); (716.762, 599.053); (715.861, 653.196)"
8,"(1466.828, 1318.147); (1452.662, 1335.215); (1423.337, 1327.407); (1419.383, 1321.424); (1417.041, 1314.733); (1417.530, 1307.076); (1422.573, 1297.676); (1430.373, 1296.513); (1445.141, 1296.487); (1449.211, 1299.931)"
9,"(1257.901, 2583.306); (1253.951, 2582.629); (1236.364, 2571.938); (1232.576, 2561.540); (1227.340, 2547.118); (1225.446, 2539.330); (1225.107, 2534.471); (1230.903, 2531.411); (1241.206, 2526.138); (1253.133, 2529.053); (1266.177, 2533.084); (1267.940, 2533.640); (1267.469, 2565.823); (1267.421, 2567.234); (1266.729, 2576.293); (1263.050, 2579.938)"
10,"(1961.451, 2999.744); (1974.498, 2993.761); (1987.996, 3031.176); (1974.921, 3015.863)"
