NO,Polygon Points
1,"(1008.404, 3434.335); (1008.138, 3968.954); (1000.317, 4084.423); (949.043, 4087.333); (290.582, 4087.200); (241.366, 4086.720); (120.560, 4082.239); (19.823, 4077.133); (11.950, 4039.243); (8.715, 3948.543); (8.532, 3935.161); (9.274, 3880.023); (10.028, 3824.005); (11.405, 3721.653); (12.617, 3631.627); (18.269, 3211.642); (19.564, 3115.384); (19.717, 3104.065); (19.938, 3087.618); (21.429, 3087.638); (109.273, 3088.820); (999.545, 3100.801); (1002.048, 3100.834); (1007.056, 3118.618)"
2,"(1033.226, 3468.180); (1042.609, 2576.053); (1055.291, 2576.224); (1591.154, 2583.435); (1722.788, 2585.207); (1980.681, 2588.677); (2002.149, 2588.966); (2007.113, 2589.033); (2010.121, 2589.074); (2026.954, 2636.170); (2029.865, 2651.679); (2030.470, 2661.180); (2030.625, 2668.985); (2031.890, 2733.549); (2032.418, 3430.131); (2031.786, 3517.671); (2026.828, 3554.668); (2020.488, 3567.056); (2015.408, 3570.903); (1999.762, 3571.852); (1973.005, 3573.426); (1900.206, 3575.491); (1601.364, 3575.414); (1489.546, 3575.312); (1153.928, 3574.651); (1082.871, 3572.965); (1063.237, 3571.559); (1046.630, 3565.868); (1035.567, 3549.051)"
3,"(1008.129, 2076.153); (1008.150, 2847.884); (1006.345, 2974.745); (993.502, 3056.364); (949.055, 3063.239); (53.763, 3062.845); (39.944, 3061.848); (19.624, 3046.552); (9.968, 3004.341); (8.616, 2579.490); (9.246, 2329.620); (9.934, 2175.440); (10.131, 2159.372); (12.215, 2076.903); (21.408, 2064.908); (70.037, 2063.528); (212.303, 2065.442); (260.523, 2066.091); (374.379, 2067.624); (459.643, 2068.771); (733.396, 2072.455); (794.711, 2073.280); (966.064, 2075.586)"
4,"(7036.798, 3446.339); (6970.877, 3446.538); (6950.378, 3439.691); (6942.018, 3435.064); (6934.098, 3429.178); (6928.539, 3423.315); (6921.797, 3385.901); (6921.015, 3380.103); (6930.396, 3374.040); (6954.172, 3369.527); (7000.013, 3376.781); (7079.531, 3390.080); (7102.401, 3395.555); (7111.332, 3422.247); (7109.473, 3428.164); (7105.013, 3431.787)"
5,"(2585.424, 4077.767); (2569.342, 3093.230); (2574.932, 3088.016); (2636.170, 3088.840); (2854.434, 3091.777); (3272.414, 3097.402); (3353.645, 3098.496); (3349.965, 3372.037); (3348.742, 3462.925); (3341.233, 4020.813); (3340.599, 4067.900); (3340.336, 4087.468); (3137.518, 4087.416); (2734.285, 4087.258); (2595.806, 4085.360)"
6,"(1160.967, 2191.946); (1180.085, 2184.966); (1968.178, 2112.751); (2002.795, 2111.828); (2008.378, 2113.612); (2042.907, 2134.750); (2068.856, 2166.323); (2071.991, 2185.224); (2070.966, 2198.931); (2055.896, 2212.635); (2048.938, 2218.650); (1896.786, 2246.026); (1844.639, 2251.341); (1410.094, 2291.789); (1198.040, 2295.187); (1188.870, 2295.219); (1186.847, 2289.972); (1185.955, 2287.619); (1185.346, 2285.943); (1182.461, 2277.211); (1181.462, 2273.421)"
7,"(2057.299, 3278.821); (2058.655, 3219.382); (2060.097, 3211.752); (2063.974, 3207.575); (2101.547, 3204.359); (2111.152, 3207.115); (2113.011, 3209.450); (2119.801, 3218.082); (2124.961, 3257.294); (2126.054, 3298.518); (2103.951, 3319.225); (2093.339, 3317.273); (2083.197, 3315.240); (2079.777, 3313.717); (2073.338, 3308.509); (2070.144, 3305.802); (2066.904, 3300.861); (2060.114, 3289.768)"
8,"(2631.706, 2069.259); (3050.828, 2958.949); (3053.852, 2980.881); (3055.242, 2996.532); (3055.407, 3002.389); (3056.486, 3044.415); (3056.248, 3053.300); (3055.306, 3059.746); (3041.403, 3061.330); (3024.955, 3062.302); (2990.341, 3063.032); (2940.073, 3063.287); (2570.517, 3063.147); (2332.609, 3062.979); (2317.814, 3062.837); (2272.847, 3059.856); (2071.219, 3024.330); (2059.573, 3019.166); (2057.223, 3010.922); (2058.642, 3002.146); (2069.089, 2952.715); (2296.654, 2068.964); (2298.283, 2064.442); (2339.131, 2064.992); (2592.111, 2068.396); (2618.814, 2068.755); (2624.848, 2068.837)"
9,"(3381.013, 2004.951); (3381.660, 2026.573); (3379.864, 2052.828); (3378.087, 2067.398); (3130.098, 2766.530); (3115.145, 2806.980); (3111.450, 2793.400); (3087.476, 2673.758); (3080.744, 2579.136); (3081.956, 2338.038); (3085.214, 2316.351); (3091.015, 2287.250); (3175.071, 2067.840); (3203.098, 2002.557); (3209.438, 2002.642); (3253.361, 2003.233); (3319.565, 2004.124); (3372.915, 2004.842); (3377.628, 2004.906)"
10,"(3054.182, 758.529); (2996.353, 731.439); (2958.881, 690.329); (2953.198, 678.635); (2965.968, 637.946); (2976.255, 606.797); (2980.168, 595.763); (2982.988, 591.751); (3005.469, 589.678); (3021.796, 589.342); (3029.795, 589.180); (3034.767, 589.324); (3146.569, 593.529); (3195.526, 599.297); (3203.898, 600.981); (3210.732, 649.013); (3207.260, 666.171); (3081.025, 756.850)"
