NO,Polygon Points
1,"(8.679, 7932.109); (11.019, 7836.559); (16.078, 7832.437); (18.444, 7830.543); (61.241, 7797.273); (420.304, 7520.950); (716.682, 7297.530); (861.744, 7189.797); (869.146, 7184.364); (903.152, 7183.596); (984.286, 7183.997); (1007.214, 7206.912); (1007.942, 7380.553); (1008.020, 7519.029); (1008.219, 7960.328); (1008.235, 7996.905); (1006.880, 8174.575); (987.691, 8180.554); (974.157, 8183.298); (91.292, 8182.629); (44.397, 8178.259); (34.609, 8176.687); (12.978, 8169.985); (9.257, 8069.313)"
2,"(1560.993, 7183.512); (2023.457, 7523.881); (2028.986, 7556.531); (2030.888, 7645.416); (2032.152, 7866.835); (2032.301, 8026.778); (2032.121, 8140.909); (2031.490, 8159.988); (2028.398, 8181.706); (1944.350, 8183.124); (1437.754, 8183.390); (1409.554, 8180.208); (1386.793, 8148.137); (1386.096, 8147.131); (1378.316, 8135.637); (1228.244, 7897.603); (1069.317, 7645.101); (1035.617, 7590.925); (1032.621, 7586.101); (1059.903, 7565.022); (1092.394, 7539.945); (1387.580, 7313.804); (1547.609, 7192.761); (1548.033, 7192.459)"
3,"(650.952, 6160.468); (877.272, 6159.915); (919.853, 6160.300); (978.199, 6168.480); (988.327, 6172.738); (998.733, 6193.569); (1004.205, 6227.353); (1004.608, 6267.933); (1007.913, 6782.307); (1008.498, 6874.543); (1008.088, 7033.773); (1007.468, 7130.436); (1006.184, 7149.468); (980.012, 7158.535); (948.317, 7159.370); (158.955, 7155.410); (132.157, 7144.395); (9.101, 6621.363); (55.716, 6586.342); (117.546, 6540.372); (119.006, 6539.287); (133.149, 6528.964); (307.084, 6403.989); (353.914, 6370.712)"
4,"(4080.397, 7871.462); (4080.156, 8140.751); (4078.543, 8172.179); (4067.617, 8178.436); (3951.616, 8180.615); (3827.884, 8182.737); (3691.139, 8183.198); (3379.578, 8183.302); (3181.709, 8183.238); (3114.566, 8182.169); (3085.924, 8180.127); (3080.656, 8135.206); (3081.042, 7892.938); (3082.080, 7882.981); (4041.364, 7186.900); (4045.844, 7183.678); (4071.001, 7187.647); (4075.923, 7192.816); (4079.360, 7221.103); (4080.355, 7330.096)"
5,"(1434.690, 6160.146); (2030.980, 6498.693); (2031.895, 6678.444); (2032.053, 6828.871); (2031.226, 7086.825); (2030.505, 7120.841); (2029.269, 7145.782); (1999.829, 7157.523); (1962.096, 7158.858); (1873.218, 7159.456); (1426.268, 7158.597); (1402.780, 7154.746); (1387.520, 7149.678); (1377.162, 7141.040); (1032.540, 6440.725); (1162.558, 6348.609); (1167.313, 6345.243); (1395.185, 6186.086); (1402.738, 6180.976); (1419.079, 6170.184); (1432.009, 6161.803)"
6,"(2587.152, 7106.198); (2568.743, 6680.590); (2597.439, 6657.699); (2717.898, 6566.768); (2911.492, 6426.061); (3077.943, 6307.668); (3121.984, 6276.547); (3264.472, 6178.420); (3268.955, 6175.378); (3273.846, 6172.157); (3280.777, 6167.663); (3294.865, 6164.044); (3454.091, 6159.853); (3462.415, 6159.841); (3563.678, 6160.350); (3567.878, 6166.873); (3568.302, 6192.356); (3568.447, 6296.595); (3568.478, 6903.701); (3567.198, 7051.566); (3562.438, 7131.318); (3549.725, 7157.114); (3140.214, 7159.493); (2649.581, 7158.731); (2606.664, 7156.452); (2600.800, 7149.151)"
7,"(1077.491, 5667.789); (1858.681, 5136.140); (1896.889, 5137.256); (2021.741, 5146.381); (2030.497, 5242.205); (2032.151, 5321.294); (2032.300, 5504.705); (2032.456, 6082.833); (2026.163, 6131.013); (2005.231, 6131.719); (1819.050, 6134.671); (1291.993, 6134.925); (1225.426, 6130.293); (1191.338, 6126.068); (1036.050, 5770.078); (1033.810, 5758.816); (1032.564, 5702.808); (1035.683, 5696.706); (1047.459, 5688.448)"
8,"(2057.979, 5649.737); (2060.233, 5633.609); (2229.324, 5512.965); (2242.428, 5503.618); (2545.689, 5290.029); (2691.248, 5188.474); (2710.551, 5175.659); (2772.481, 5135.617); (2773.627, 5136.774); (2779.245, 5143.678); (2779.762, 5144.344); (2850.863, 5246.004); (2882.198, 5290.994); (2979.302, 5430.797); (3040.262, 5518.936); (3041.288, 5520.437); (3046.926, 5529.117); (3050.736, 5643.612); (3053.443, 5821.787); (3054.953, 6053.899); (3053.541, 6128.000); (2925.087, 6132.156); (2854.979, 6134.288); (2671.066, 6135.037); (2171.396, 6129.507); (2094.399, 6127.819); (2059.408, 6115.882); (2057.158, 6092.651); (2056.993, 6039.247); (2057.284, 5782.937)"
9,"(4077.247, 5676.084); (4079.978, 5756.422); (4078.925, 6097.109); (4073.412, 6123.017); (4052.049, 6134.289); (3965.918, 6135.231); (3253.580, 6134.473); (3105.836, 6133.470); (3081.750, 6132.849); (3080.841, 6095.853); (3081.021, 5676.121); (3081.104, 5664.323); (3082.175, 5639.833); (3084.024, 5638.420); (3104.701, 5623.434); (3367.443, 5438.109); (3796.410, 5135.953); (3798.849, 5138.056)"
10,"(323.030, 4190.851); (436.319, 4112.136); (1007.516, 4585.682); (1008.063, 4597.537); (1008.145, 4842.495); (1007.908, 4997.753); (1007.539, 5064.861); (985.204, 5098.768); (954.902, 5110.862); (185.358, 5110.395); (169.142, 5098.673); (163.078, 5093.666); (9.269, 4413.487); (18.155, 4406.849); (68.998, 4370.513)"
