NO,Polygon Points
1,"(3778.613, 1680.833); (3778.230, 1699.903); (3778.031, 1709.777); (3775.795, 1820.891); (3774.864, 1867.125); (3774.037, 1867.571); (3721.471, 1884.728); (3656.526, 1904.547); (3638.251, 1909.873); (3627.115, 1910.781); (3622.387, 1908.253); (3618.203, 1896.549); (3602.803, 1852.128); (3598.860, 1836.391); (3593.841, 1810.254); (3592.603, 1800.896); (3609.425, 1735.383); (3611.541, 1732.067); (3647.474, 1719.799); (3672.377, 1711.497); (3748.809, 1688.002); (3759.950, 1684.742); (3770.489, 1681.735); (3776.811, 1681.029)"
2,"(1352.724, 1028.016); (1384.319, 795.108); (1395.208, 785.915); (1433.621, 765.675); (1474.164, 770.828); (1475.374, 865.709); (1474.172, 1308.885); (1473.407, 1328.876); (1473.344, 1330.368); (1473.186, 1334.037); (1470.844, 1335.181); (1452.046, 1334.429); (1448.732, 1334.027); (1419.941, 1327.200); (1415.647, 1326.148); (1412.270, 1321.100); (1393.446, 1263.709); (1381.993, 1208.579)"
3,"(922.753, 2038.395); (79.262, 2021.416); (77.942, 2018.152); (41.350, 1927.625); (40.387, 1925.245); (38.692, 1877.334); (15.692, 1227.180); (9.251, 1045.092); (51.914, 1039.958); (472.281, 1039.753); (728.000, 1039.718); (823.140, 1040.100); (852.271, 1040.347); (962.189, 1045.182); (961.976, 1055.786); (961.363, 1086.224); (960.657, 1121.299); (953.567, 1473.580); (951.467, 1577.879); (943.043, 1996.434); (942.903, 2003.396); (942.509, 2022.961); (942.190, 2038.786); (939.222, 2038.727)"
4,"(1003.913, 598.939); (611.858, 999.522); (607.681, 1002.250); (595.941, 1006.752); (591.014, 1006.878); (319.654, 1013.460); (81.355, 1014.807); (34.276, 1014.130); (12.148, 1003.400); (8.795, 908.598); (8.505, 563.111); (8.524, 394.492); (10.747, 389.456); (51.465, 390.276); (55.941, 390.366); (998.690, 409.341); (1007.725, 409.523); (1007.161, 437.577); (1006.584, 466.221); (1004.419, 573.782); (1003.961, 596.565)"
5,"(3042.690, 1488.618); (3035.519, 1494.689); (3026.428, 1493.517); (3017.328, 1485.821); (3021.196, 1481.196); (3026.518, 1477.086); (3032.342, 1474.819); (3038.071, 1475.711)"
6,"(2458.221, 1093.342); (2511.596, 1093.294); (2516.024, 1095.523); (2521.071, 1098.543); (2525.413, 1105.218); (2525.355, 1111.739); (2520.852, 1115.850); (2516.517, 1119.194); (2503.926, 1128.812); (2466.760, 1142.759); (2452.635, 1142.647); (2440.716, 1137.590); (2441.288, 1134.814); (2441.925, 1131.723); (2442.214, 1130.717); (2444.186, 1124.710); (2444.701, 1123.389)"
7,"(2681.296, 2039.036); (2517.667, 2037.031); (2510.550, 2033.354); (2504.707, 2027.552); (2504.767, 2023.866); (2511.269, 2003.177); (2726.313, 1999.905); (2747.059, 2000.681); (2761.262, 2001.853); (2793.054, 2005.793); (2809.064, 2010.733); (2807.252, 2033.284); (2807.208, 2033.786); (2806.669, 2034.695); (2769.042, 2037.016)"
8,"(4072.877, 914.519); (4083.102, 905.808); (4083.009, 910.512); (4078.459, 918.778)"
9,"(1703.105, 275.201); (1697.353, 701.178); (1695.399, 707.396); (1681.032, 726.086); (1675.517, 731.321); (1563.677, 758.335); (1355.236, 758.577); (1303.432, 748.043); (1296.244, 745.119); (1295.136, 736.242); (1288.977, 635.966); (1288.654, 470.809); (1289.431, 461.486); (1296.115, 434.179); (1298.685, 431.282); (1494.269, 218.275); (1549.142, 165.877); (1554.997, 160.723); (1559.927, 157.780); (1662.464, 155.228); (1669.998, 170.658); (1703.076, 264.164)"
10,"(1560.579, 1495.961); (1616.239, 1485.454); (1619.810, 1486.849); (1622.252, 1491.932); (1626.014, 1504.297); (1627.088, 1512.912); (1625.125, 1520.793); (1565.934, 1527.457); (1559.946, 1526.686); (1553.166, 1521.774); (1545.006, 1513.470); (1545.394, 1510.051); (1547.433, 1503.008)"
11,"(2760.518, 1247.275); (2764.239, 1230.339); (2774.352, 1221.162); (2783.607, 1213.541); (2789.358, 1213.536); (2802.713, 1214.608); (2845.109, 1222.070); (2862.287, 1230.512); (2867.003, 1243.155); (2867.641, 1253.832); (2867.753, 1257.335); (2867.409, 1263.183); (2864.752, 1265.349); (2857.416, 1269.203); (2838.687, 1271.340); (2795.597, 1267.230); (2771.380, 1257.874); (2763.288, 1250.334)"
12,"(3063.678, 853.665); (3049.258, 848.703); (3050.622, 844.862); (3055.888, 834.092); (3072.015, 835.841); (3082.147, 838.522); (3081.398, 849.428); (3073.367, 854.719)"
13,"(3016.666, 1021.218); (3026.619, 1014.700); (3038.148, 1007.930); (3058.077, 1023.319); (3067.047, 1054.782); (3069.357, 1066.280); (3065.740, 1070.531); (3063.464, 1072.880); (3058.539, 1077.749); (3050.194, 1078.826); (3045.895, 1075.630); (3017.923, 1024.984)"
14,"(2902.106, 1207.431); (2825.087, 1183.625); (2829.681, 1172.927); (2832.130, 1168.016); (2832.833, 1166.706); (2865.438, 1125.192); (2870.354, 1119.173); (2870.540, 1118.959); (2875.628, 1118.181); (2890.452, 1123.203); (2911.075, 1133.358); (2918.863, 1144.092); (2920.222, 1164.081); (2905.224, 1201.217)"
15,"(2134.105, 797.703); (2150.490, 805.929); (2146.453, 813.304); (2135.176, 821.321); (2128.649, 822.668); (2120.868, 815.298); (2126.787, 802.976); (2130.770, 797.982)"
16,"(3211.643, 1710.498); (3208.619, 1695.482); (3209.963, 1681.968); (3293.721, 1676.119); (3298.616, 1676.762); (3309.461, 1682.483); (3319.314, 1696.303); (3313.488, 1701.507); (3275.200, 1710.520); (3257.954, 1713.666); (3230.693, 1717.946); (3217.295, 1718.663)"
17,"(3826.670, 775.203); (3817.221, 771.931); (3822.822, 767.868)"
18,"(3150.471, 1751.148); (3145.042, 1744.218); (3145.197, 1736.650); (3167.082, 1719.720); (3177.948, 1716.344); (3189.282, 1719.630); (3198.529, 1734.809); (3185.392, 1739.333)"
19,"(1769.463, 742.555); (1769.294, 735.935); (1775.409, 735.933); (1776.561, 739.199)"
20,"(3570.469, 1266.239); (3581.842, 1379.497); (3577.270, 1391.237); (3572.649, 1395.802); (3565.104, 1397.526); (3559.114, 1398.575); (3499.839, 1397.128); (3496.158, 1393.279); (3465.444, 1358.521); (3477.943, 1328.061); (3483.689, 1316.104); (3511.883, 1260.842); (3513.276, 1258.164); (3514.060, 1256.897); (3517.131, 1253.104); (3517.637, 1252.541); (3517.897, 1252.517); (3548.730, 1256.441)"
21,"(1736.968, 1677.714); (1759.496, 1635.769); (1761.265, 1635.007); (1766.970, 1633.677); (1781.710, 1632.200); (1792.868, 1645.424); (1795.533, 1656.119); (1799.775, 1675.591); (1799.570, 1680.773); (1796.902, 1689.073); (1786.512, 1703.704); (1738.452, 1718.772); (1737.811, 1714.227)"
22,"(2791.036, 1924.621); (2785.550, 1975.237); (2764.689, 1975.421); (2761.569, 1887.243); (2761.400, 1882.446); (2767.100, 1882.561); (2778.681, 1882.794); (2782.336, 1882.867)"
23,"(3363.644, 836.388); (3352.623, 839.238); (3353.448, 826.925); (3355.205, 828.486)"
24,"(3497.058, 1414.907); (3497.911, 1413.353); (3505.744, 1413.902); (3505.741, 1414.338); (3505.703, 1414.882); (3505.679, 1415.223)"
25,"(1513.102, 1326.690); (1512.835, 1319.936); (1513.730, 1314.369); (1517.178, 1301.806); (1529.591, 1300.907); (1535.063, 1301.165); (1534.162, 1316.854); (1531.843, 1335.253); (1524.899, 1334.730)"
26,"(8.549, 310.613); (16.520, 278.200); (51.389, 275.279); (469.601, 271.873); (500.507, 282.952); (543.969, 300.309); (545.895, 324.463); (546.605, 341.692); (315.883, 373.419); (269.003, 375.144); (152.446, 371.857); (140.608, 370.370); (10.149, 330.414)"
27,"(4027.127, 791.144); (4024.937, 783.769); (4030.833, 780.116); (4031.454, 786.699)"
28,"(2435.315, 847.023); (2424.540, 854.827); (2426.233, 846.387); (2432.031, 843.120)"
29,"(1503.668, 903.498); (1496.845, 899.709); (1497.158, 898.376); (1507.765, 900.143)"
30,"(725.547, 1611.241); (744.366, 1623.858); (725.740, 1655.034); (722.379, 1653.836); (716.442, 1651.624); (713.349, 1648.541); (713.210, 1642.117); (723.889, 1614.919)"
31,"(2693.760, 1638.796); (2680.651, 1636.032); (2683.900, 1634.458); (2691.573, 1636.789)"
32,"(897.564, 870.951); (888.912, 865.567); (888.942, 857.896); (896.492, 866.617)"
33,"(2041.094, 913.463); (2037.483, 949.236); (2035.965, 951.124); (2029.530, 950.839); (2020.959, 949.981); (2009.982, 938.560); (1999.293, 924.765); (1992.982, 901.963); (1996.777, 895.401); (2000.412, 895.227); (2006.201, 895.072); (2038.697, 899.744); (2040.552, 900.960)"
34,"(3828.081, 1750.779); (3817.462, 1747.655); (3822.391, 1718.536); (3825.364, 1716.769); (3829.820, 1721.012); (3832.755, 1732.052); (3830.596, 1745.249)"
35,"(932.770, 1905.343); (941.121, 1914.763); (938.119, 1916.986); (928.447, 1921.032); (854.126, 1943.316); (848.732, 1942.785); (840.595, 1938.602); (841.258, 1931.574); (864.528, 1917.216); (868.721, 1915.225); (890.448, 1906.375); (897.290, 1904.445); (910.869, 1900.705)"
